Game	AB	R	H	X2B	X3B	HR	RBI	BB	SO
1	5	0	0	0	0	0	0	0	1
2	3	1	1	0	0	0	1	1	0
3	3	1	0	0	0	0	0	2	0
4	4	1	2	1	0	0	0	0	0
5	4	0	1	0	0	0	0	0	0
6	5	0	1	0	0	0	0	0	1
7	4	0	1	0	0	0	0	0	0
8	4	1	2	1	0	0	0	0	0
9	4	1	1	1	0	0	0	0	0
10	5	0	1	0	0	0	0	0	0
11	5	0	1	0	0	0	1	0	3
12	4	0	2	0	0	0	2	2	0
13	4	0	0	0	0	0	0	0	1
14	5	1	1	0	0	0	0	0	1
15	4	0	0	0	0	0	0	0	2
16	4	0	0	0	0	0	1	0	0
17	4	0	0	0	0	0	0	0	2
18	5	0	0	0	0	0	0	1	1
19	4	0	0	0	0	0	0	0	3
20	3	0	0	0	0	0	0	1	0
21	4	0	0	0	0	0	0	1	0
22	4	1	1	0	0	1	1	0	1
23	4	1	1	0	0	0	1	1	0
24	6	1	3	0	0	0	0	0	0
25	4	0	0	0	0	0	0	0	1
26	6	1	1	1	0	0	0	0	1
27	0	0	0	0	0	0	0	0	0
28	5	0	1	0	0	0	1	0	1
29	4	0	1	0	0	0	1	0	1
30	4	0	0	0	0	0	0	1	2
31	5	2	2	0	0	1	2	0	0
32	6	0	3	1	0	0	2	0	1
33	4	0	2	1	0	0	0	0	1
34	4	1	1	1	0	0	0	0	0
35	5	0	0	0	0	0	0	0	3
36	7	0	1	0	0	0	0	0	2
37	4	0	0	0	0	0	0	0	1
38	4	0	0	0	0	0	0	0	1
39	3	0	0	0	0	0	1	1	0
40	5	2	2	0	0	1	1	0	1
41	4	1	1	0	0	0	0	1	2
42	4	0	0	0	0	0	0	0	0
43	5	0	1	0	0	0	1	0	1
44	6	1	1	1	0	0	1	0	1
45	5	2	3	2	0	0	1	0	1
46	4	1	3	2	0	0	2	0	0
47	5	2	3	1	0	1	1	0	1
48	5	0	1	0	0	0	1	0	1
49	5	0	1	0	0	0	1	0	2
50	5	2	4	1	0	2	3	0	0
51	4	1	1	0	0	1	1	0	2
52	2	1	0	0	0	0	0	0	1
53	2	1	1	0	0	0	0	0	1
54	4	2	1	0	0	1	2	0	0
55	3	2	1	0	0	0	0	2	1
56	4	0	1	0	0	0	0	0	2
57	4	1	3	0	0	0	1	0	0
58	5	1	2	1	0	0	0	1	2
59	4	0	3	0	0	0	0	0	0
60	4	2	2	0	0	1	2	0	1
61	4	0	0	0	0	0	0	0	0
62	4	0	1	0	0	0	0	0	0
63	4	0	1	0	0	0	0	0	0
64	4	0	1	0	0	0	0	0	0
65	5	3	2	0	0	1	3	1	2
66	4	0	0	0	0	0	0	0	1
67	5	2	2	0	0	1	2	0	0
68	4	0	2	1	0	0	0	1	1
69	4	3	3	0	0	2	2	0	0
70	4	1	1	0	0	0	0	0	1
71	5	2	3	0	0	0	1	0	0
72	3	0	1	0	0	0	0	0	1
73	4	0	1	0	0	0	0	0	1
74	1	1	0	0	0	0	0	2	0
75	5	1	2	1	0	0	0	0	2
76	5	0	3	0	0	0	1	0	0
77	4	0	0	0	0	0	0	1	0
78	4	0	1	1	0	0	0	0	0
79	4	1	1	0	0	0	1	0	1
80	5	1	2	2	0	0	2	0	0
81	4	0	2	0	0	0	1	0	0
82	4	1	1	1	0	0	3	0	0
83	5	1	1	1	0	0	0	0	1
84	4	1	1	0	0	1	1	0	0
85	4	0	0	0	0	0	0	0	0
86	5	2	2	0	0	0	0	0	1
87	4	0	1	1	0	0	0	0	0
88	5	1	2	1	0	0	0	0	1
89	2	1	1	0	0	0	0	1	1
90	5	0	0	0	0	0	0	0	1
91	4	1	1	0	0	0	0	1	0
92	4	0	0	0	0	0	0	0	1
93	5	1	2	0	0	0	0	0	1
94	5	1	1	0	0	0	0	0	0
95	5	0	0	0	0	0	0	0	0
96	3	0	0	0	0	0	0	0	0
97	4	0	2	0	0	0	0	0	0
98	3	1	1	0	1	0	1	1	1
99	5	2	3	0	0	0	0	0	1
100	4	1	2	0	0	0	0	0	0
101	5	1	2	0	0	0	0	0	0
